# ExEP Small Temperate Exoplanet Database,,,,,,,,Selection Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NASA Exoplanet Exploration Program Office Internal Database,,,,,,,,"Hab Zone: both from Kopparapu+2014, adopting either ""conservative"" or ""optimistic"" hab zone limits (assume 1 Mearth for calculation) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Eric Mamajek,,,9/28/18,,,,,"Planet mass upper limit: ""conservative"" < 5 Mearth, ""optimistic"" < 10 Mearth. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COUNTS,,,Conserv.Terrestrial Temperate,Optimistic Terrestrial Temperate,Optimistic Small Temperate,,,"Planet radius upper limit: ""conservative"" < 1.5 Rearth, ""optimistic"" < 1.8 Rearth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# total,,,8,16,,26,,"Discovery flag in column 4: K(Kepler mission), K2, RV(radial velocity), T(other transit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by Kepler mission,,,2,5,,11,,Quantities in italics are calculated in this table from other published parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by K2,,,0,1,,1,,"""Conservative temperate terrestrial exoplanet count"" = number of likely terrestrial planets (<=1.5 Re, <=5 Me) in conservative habitable zone"" ('hall of fame')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by other transit,,,3,4,,5,,"""Optimistic temperate terrestrial exoplanet count"" = number of likely terrestrial planets (<=1.5 Re, <=5 Me) in optimistic habitable zone"" (would include early Venus and early Mars)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by precision RV,,,3,6,,9,,"""Optimistic temperate small exoplanet count"" = number of ""small"" (<=1.8 Re, <=10 Me) planets in optimistic habitable zone"" (likely contains some sub-Neptunes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Optimistic Temperate Small (<1.8Re),2,Conservative Temperate Terrestrial (<1.5 Re),4,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47
opt_in,Optimistic Temperate Terrestrial (<1.5Re),con_in,Planet,Planet_Description,discovery_method,NExSci_confirmed,HEC list,DR25,Radius,Radius_orig,Ref_radius,Mass,Ref_Mass,Teff,Ref_Teff,Parallax_mas,err_mas,Dist_pc,Dist_ly,log_Lum,Ref_lum,Period,Ref_period,Mass_star,ref_Mass_star,semi_major_axis,Ref_a,T_eq_0,T_eq_03,S,S_in_HZ,S_out_HZ,S_in_Recent_Venus,S_out_Early_Mars,in_Conservative_HZ,in_Optimistic_HZ,diff_from_S_Earth,Teq_published,S_published,Spec_Type,Planet_Alias,ID,2MASS_J,Fe_H,ref_Fe_H,last updated,Notes
TRUE,1,TRUE,Kepler-442 b ,temperate terrestrial (conservative),K ,Y,Yc,Y,1.34,1.34+0.11-0.18,Torres+2015,NA,NA,4402,Berger+2018,2.7037,0.0203,369.86,1206.31,-0.862,Berger+2018,112.3053,Torres+2015,0.613,Mathur+2017,0.386979954,"calc P,M",273,249,0.917,0.968,0.281,1.553,0.252,Y,Y,8%,NA,0.66,[K5V],KOI-4742.01,KIC 4138008,19012797+3916482,-0.16,Mann+2013,9/13/18,Torres+2015
TRUE,2,TRUE,GJ 667 C c,temperate terrestrial (conservative),RV,Y,Yc,NA,NA,NA,NA,4.1,Robertson+2014,3350,Anglada-Escude+2013,138.0171,0.0918,7.25,23.63,-1.863,Anglada-Escude+2013,28.1,Robertson+2014,0.37,Gaidos+2014,0.129859262,"calc P,M",264,242,0.812,0.929,0.243,1.49,0.218,Y,Y,19%,NA,0.9,M1.5V,HD 156384 Cc,LHS 443,17185868-3459483,,,9/13/18,Anglada-Escude+2013 reported; Robertson+2014 params
TRUE,3,TRUE,Proxima Cen b,temperate terrestrial (conservative),RV,Y,Yc,NA,NA,NA,NA,1.27,Anglada-Escude+2016,3050,Anglada-Escude+2016,768.13,1.04,1.3,4.25,-2.81,Anglada-Escude+2016,11.186,Anglada-Escude+2016,0.12,Anglada-Escude+2016,0.048281242,"calc P,M",251,230,0.665,0.923,0.234,1.481,0.211,Y,Y,34%,234,0.65,M5.5V,alf Cen Cb,GJ 551 b,14294291-6240465,,,9/13/18,Anglada-Escude+2016
TRUE,4,TRUE,Trappist-1 e,temperate terrestrial (conservative),T,Y,Yc,NA,0.91,0.910+-0.027,Grimm+2018,0.772+0.079-0.075,Grimm+2018,2516,VanGrootel2019,82.58,2.58,12.11,39.5,-3.259,Kane2018,6.099615,Gillon+2017,0.089,Van Grootel+2018,0.029169776,"calc P,M",250,229,0.648,0.91,0.221,1.46,0.198,Y,Y,35%,251,0.662,M8V,K2-112e,EPIC 246199087,23062928-0502285,,,9/13/18,Gillon+2017
TRUE,5,TRUE,Kapteyn b,temperate terrestrial (conservative),RV,Y,NA,NA,NA,NA,NA,4.8+0.9-1.0,Anglada-Escude+2015,3550,Anglada-Escude+2015,255.66,0.91,3.91,12.76,-1.917,"Anglada-Escude+14 calc w/R,T",48.616,Anglada-Escude+2015,0.27,Astudillo-Defru+2017,0.168490549,"calc P,M",225,206,0.427,0.933,0.249,1.497,0.223,Y,Y,57%,NA,0.4,M1VIp,GJ 191 b,HD 33793,05114046-4501051,,,9/13/18,Anglada-Escude+2014 report & params
TRUE,6,TRUE,Kepler-186 f,temperate terrestrial (conservative),K ,Y,NA,Y,1.438,1.438+0.251-0.137,Berger+2018,NA,NA,3748,Berger+2018,5.602,0.0244,178.51,582.2,-1.245,Kane2018,129.9441,Torres+2015,0.452,Mathur+2017,0.385317438,"calc P,M",219,200,0.383,0.938,0.255,1.506,0.229,Y,Y,62%,NA,0.3,M1V,KOI-571.05,KIC 8120608,19543665+4357180,,,9/13/18,"Quintana+2014 discovery, updated params from Torres+2015"
TRUE,7,TRUE,Trappist-1 f,temperate terrestrial (conservative),T,Y,NA,NA,1.046,1.046+-0.030,Grimm+2018,0.934+0.080-0.078,Grimm+2018,2516,VanGrootel2020,82.58,2.58,12.11,39.5,-3.259,Kane2018,9.20669,Gillon+2017,0.089,Van Grootel+2018,0.03838255,"calc P,M",218,199,0.374,0.91,0.221,1.46,0.198,Y,Y,63%,219,0.382,M8V,K2-112f,EPIC 246199087,23062928-0502285,,,9/13/18,Gillon+2017
TRUE,8,TRUE,Trappist-1 g,temperate terrestrial (conservative),T,Y,NA,NA,1.148,1.148+-0.033,Grimm+2018,1.148+0.098-0.095,Grimm+2018,2516,VanGrootel2021,82.58,2.58,12.11,39.5,-3.259,Kane2018,12.35294,Gillon+2017,0.089,Van Grootel+2018,0.046692275,"calc P,M",197,181,0.253,0.91,0.221,1.46,0.198,Y,Y,75%,199,0.258,M8V,K2-112g,EPIC 246199087,23062928-0502285,,,9/13/18,Gillon+2017
TRUE,9,FALSE,GJ 273 b,temperate terrestrial (optimistic),RV,Y,Yo,NA,NA,NA,NA,2.89+-0.26,Astudillo-Defru+2017,3382,Astudillo-Defru+2017,262.98,1.39,3.8,12.4,-2.056,Astudillo-Defru+2017,18.65,Astudillo-Defru+2017,0.29,Astudillo-Defru+2017,0.091100347,"calc P,M",283,258,1.06,0.929,0.243,1.491,0.219,N,Y,6%,206-293,1.06,M3.5V,Luyten b,LHS 33,07272450+0513329,0.09,Astudillo-Defru+2017,9/17/18,"Astudillo-Defru+2017; revised radius (1.72 Re) from Kane(2018) results in density 8.8 g/cc, hence it is rocky despite large radius"
TRUE,10,FALSE,K2-72 e,temperate terrestrial (optimistic),K2,Y,Yo,NA,1.29,1.29+0.13-0.14,Dressing+2017,NA,NA,3393,Hirano+2018,15.0242,0.0449,66.56,217.08,-1.787,"Hirano+2018, calc w/R,T",24.15872,Dressing+2018,0.271,Dressing+2017,0.105837731,"calc P,M",306,280,1.459,0.929,0.244,1.491,0.219,N,Y,46%,NA,1.2,M2V,EPIC 206209135.04,EPIC 206209135,22182923-0936444,,,9/13/18,
