KOI,flag,KIC,name,period,Rp,Rp_Uerr,Rp_Lerr,Sp,Sp_Uerr,Sp_Lerr,Teff,Teff_Uerr,Teff_Lerr,Rstar,Rstar_Uerr,Rstar_Lerr,MES,score
172.02,,8692861,Kepler-69 c,242.4613,1.73,0.21,0.22,1.59,0.59,0.45,5637,113,101,0.94,0.12,0.12,18,0.693
238.03,,7219825,,362.97828,1.96,0.33,0.29,1.81,0.87,0.6,6086,133,133,1.22,0.2,0.18,11.9,0.784
438.02,,12302530,Kepler-155 c,52.66153,1.87,0.11,0.12,1.28,0.26,0.25,3984,71,86,0.54,0.03,0.04,30.6,1
463.01,c,8845205,Kepler-560 b,18.47763,1.55,0.32,0.29,1.21,0.72,0.47,3395,74,67,0.28,0.06,0.05,78,0.001
494.01,,3966801,Kepler-577 b,25.69581,1.7,0.21,0.33,2.3,1.17,1.1,3787,163,204,0.48,0.06,0.09,35.9,1
571.05,a,8120608,Kepler-186 f,129.9441,1.18,0.11,0.14,0.23,0.07,0.06,3751,75,84,0.44,0.04,0.05,7.7,0.677
701.03,,9002278,Kepler-62 e,122.3874,1.72,0.1,0.07,1.24,0.27,0.19,4926,98,98,0.66,0.04,0.03,35.9,0.994
701.04,d,9002278,Kepler-62 f,267.291,1.43,0.08,0.06,0.44,0.09,0.07,4926,98,98,0.66,0.04,0.03,14.3,0
812.03,,4139816,Kepler-235 e,46.1842,1.83,0.12,0.15,1.32,0.29,0.3,3950,70,86,0.49,0.03,0.04,18,1
854.01,,6435936,Kepler-705 b,56.05608,1.94,0.12,0.22,0.69,0.15,0.19,3593,71,86,0.49,0.03,0.06,19.3,0.996
947.01,,9710326,Kepler-737 b,28.59914,1.83,0.16,0.21,1.87,0.52,0.53,3755,75,84,0.46,0.04,0.05,45.7,1
1078.03,,10166274,Kepler-267 d,28.46465,1.87,0.14,0.22,1.95,0.49,0.55,3789,75,82,0.46,0.04,0.05,22.2,0.992
1298.02,d,10604335,Kepler-283 c,92.74958,1.87,0.08,0.1,0.78,0.15,0.14,4141,83,91,0.58,0.03,0.03,10.7,0
1404.02,,8874090,,18.90609,0.87,0.16,0.21,3.03,2.29,1.67,3751,219,219,0.45,0.08,0.11,10.1,0.955
1422.02,b,11497958,Kepler-296 d,19.85029,1.52,0.19,0.23,1.83,0.68,0.62,3526,71,78,0.38,0.05,0.06,25.1,1
1422.04,,11497958,Kepler-296 f,63.33627,1.18,0.15,0.18,0.39,0.15,0.13,3526,71,78,0.38,0.05,0.06,9.1,0.927
1422.05,,11497958,Kepler-296 e,34.14211,1.06,0.13,0.16,0.89,0.33,0.3,3526,71,78,0.38,0.05,0.06,10.5,0.984
1596.02,,10027323,Kepler-309 c,105.35823,1.87,0.13,0.17,0.41,0.09,0.1,3883,69,93,0.5,0.04,0.04,16.5,0.738
2162.02,,9205938,,199.66876,1.45,0.18,0.18,2.06,0.76,0.59,5678,113,102,0.92,0.12,0.12,11.1,0.92
2184.02,e,12885212,,95.9064,2.17,0.07,0.12,1.63,0.2,0.29,4620,73,82,0.74,0.02,0.04,8.92,0.638
2418.01,,10027247,Kepler-1229 b,86.82952,1.68,0.12,0.21,0.35,0.08,0.11,3576,71,85,0.46,0.03,0.06,11.7,0.937
2626.01,,11768142,,38.09707,1.58,0.2,0.21,0.81,0.3,0.25,3554,71,80,0.4,0.05,0.05,14.6,0.999
2650.01,,8890150,Kepler-395 c,34.98978,1.14,0.07,0.1,1.71,0.35,0.42,3765,75,83,0.52,0.03,0.05,10.1,0.985
2719.02,,5184911,,106.25976,1.5,0.1,0.16,1.99,0.53,0.58,4827,129,144,0.82,0.06,0.09,10,0.99
3010.01,,3642335,Kepler-1410 b,60.8661,1.39,0.07,0.1,0.84,0.17,0.16,3808,69,76,0.52,0.03,0.04,12.7,0.996
3034.01,,2973386,,31.02092,1.66,0.12,0.17,1.7,0.4,0.45,3720,73,81,0.48,0.03,0.05,11.9,1
3138.01,b,6444896,Kepler-1649 b,8.68909,0.49,0,0,0.47,0,0,2703,0,0,0.12,0,0,12,1
